event,bout,url
UFC 317: Topuria vs. Oliveira,Ilia Topuria vs. Charles Oliveira,http://ufcstats.com/fight-details/7a64d63e12618ba7
UFC 317: Topuria vs. Oliveira,Alexandre Pantoja vs. Kai Kara-France,http://ufcstats.com/fight-details/8308464729ea7c40
UFC 317: Topuria vs. Oliveira,Joshua Van vs. Brandon Royval,http://ufcstats.com/fight-details/f722b96ae6862843
UFC 317: Topuria vs. Oliveira,Beneil Dariush vs. Renato Moicano,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79
UFC 317: Topuria vs. Oliveira,Payton Talbott vs. Felipe Lima,http://ufcstats.com/fight-details/f6a3c78f15ff26c7
UFC 317: Topuria vs. Oliveira,Gregory Rodrigues vs. Jack Hermansson,http://ufcstats.com/fight-details/958522de54ccc536
UFC 317: Topuria vs. Oliveira,Jose Delgado vs. Hyder Amil,http://ufcstats.com/fight-details/2f523b757f7f33a2
UFC 317: Topuria vs. Oliveira,Tracy Cortez vs. Viviane Araujo,http://ufcstats.com/fight-details/815ff62ca8e217be
UFC 317: Topuria vs. Oliveira,Terrance McKinney vs. Viacheslav Borshchev,http://ufcstats.com/fight-details/d7be78c400e7e0f9
UFC 317: Topuria vs. Oliveira,Jacobe Smith vs. Niko Price,http://ufcstats.com/fight-details/9bff9fe298e63357
UFC 317: Topuria vs. Oliveira,Jhonata Diniz vs. Alvin Hines,http://ufcstats.com/fight-details/043172689e415438
UFC Fight Night: Hill vs. Rountree Jr.,Khalil Rountree Jr. vs. Jamahal Hill,http://ufcstats.com/fight-details/03bc32bdb5a33496
UFC Fight Night: Hill vs. Rountree Jr.,Rafael Fiziev vs. Ignacio Bahamondes,http://ufcstats.com/fight-details/a1afc16e21d1a807
UFC Fight Night: Hill vs. Rountree Jr.,Curtis Blaydes vs. Rizvan Kuniev,http://ufcstats.com/fight-details/8e5744c664fec3e9
UFC Fight Night: Hill vs. Rountree Jr.,Myktybek Orolbai vs. Tofiq Musayev,http://ufcstats.com/fight-details/36ec204f47e4d613
UFC Fight Night: Hill vs. Rountree Jr.,Nazim Sadykhov vs. Nikolas Motta,http://ufcstats.com/fight-details/7513a00037094075
UFC Fight Night: Hill vs. Rountree Jr.,Muhammad Naimov vs. Bogdan Grad,http://ufcstats.com/fight-details/19764211af05674c
UFC Fight Night: Hill vs. Rountree Jr.,Seokhyeon Ko vs. Oban Elliott,http://ufcstats.com/fight-details/e512b80bbaea36c2
UFC Fight Night: Hill vs. Rountree Jr.,JunYong Park vs. Ismail Naurdiev,http://ufcstats.com/fight-details/5fcf18bcd2a020f1
UFC Fight Night: Hill vs. Rountree Jr.,Daria Zhelezniakova vs. Melissa Mullins,http://ufcstats.com/fight-details/fff3218758c513b8
UFC Fight Night: Hill vs. Rountree Jr.,Klaudia Sygula vs. Irina Alekseeva,http://ufcstats.com/fight-details/2bfc0212f2cae65b
UFC Fight Night: Hill vs. Rountree Jr.,Tagir Ulanbekov vs. Azat Maksum,http://ufcstats.com/fight-details/8c140756bf43dcc2
UFC Fight Night: Hill vs. Rountree Jr.,Mohammed Usman vs. Hamdy Abdelwahab,http://ufcstats.com/fight-details/a12d3a6c8aaf87ca
UFC Fight Night: Usman vs. Buckley,Kamaru Usman vs. Joaquin Buckley,http://ufcstats.com/fight-details/d75b3d3c2b209b75
