event,bout,outcome,weightclass,method,round,time,time format,referee,details,url
UFC 317: Topuria vs. Oliveira,Ilia Topuria  vs. Charles Oliveira ,W/L,UFC Lightweight Title Bout,KO/TKO ,1,2:27,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/7a64d63e12618ba7
UFC 317: Topuria vs. Oliveira,Alexandre Pantoja  vs. Kai Kara-France ,W/L,UFC Flyweight Title Bout,Submission ,3,1:55,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/8308464729ea7c40
UFC 317: Topuria vs. Oliveira,Brandon Royval  vs. Joshua Van ,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29.Ron McCarthy 28 - 29.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/f722b96ae6862843
UFC 317: Topuria vs. Oliveira,Beneil Dariush  vs. Renato Moicano ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79
UFC 317: Topuria vs. Oliveira,Payton Talbott  vs. Felipe Lima ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Ben Cartlidge 28 - 29.Chris Lee 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/f6a3c78f15ff26c7
UFC 317: Topuria vs. Oliveira,Jack Hermansson  vs. Gregory Rodrigues ,L/W,Middleweight Bout,KO/TKO ,1,4:21,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/958522de54ccc536
UFC 317: Topuria vs. Oliveira,Hyder Amil  vs. Jose Delgado ,L/W,Featherweight Bout,KO/TKO ,1,0:26,3 Rnd (5-5-5),Marc Goddard,Knee to Head In Clinch ,http://ufcstats.com/fight-details/2f523b757f7f33a2
UFC 317: Topuria vs. Oliveira,Viviane Araujo  vs. Tracy Cortez ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30.Sal D'amato 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/815ff62ca8e217be
UFC 317: Topuria vs. Oliveira,Terrance McKinney  vs. Viacheslav Borshchev ,W/L,Lightweight Bout,Submission ,1,0:55,3 Rnd (5-5-5),Chris Tognoni,Guillotine Choke From Mount ,http://ufcstats.com/fight-details/d7be78c400e7e0f9
UFC 317: Topuria vs. Oliveira,Niko Price  vs. Jacobe Smith ,L/W,Welterweight Bout,Submission ,2,4:03,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/9bff9fe298e63357
UFC 317: Topuria vs. Oliveira,Jhonata Diniz  vs. Alvin Hines ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee 28 - 29.Tony Weeks 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/043172689e415438
UFC Fight Night: Hill vs. Rountree Jr.,Jamahal Hill  vs. Khalil Rountree Jr. ,L/W,Light Heavyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge 46 - 49.David Lethaby 45 - 50.Clemens Werner 45 - 50.,http://ufcstats.com/fight-details/03bc32bdb5a33496
UFC Fight Night: Hill vs. Rountree Jr.,Rafael Fiziev  vs. Ignacio Bahamondes ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 27 - 30.Vito Paolillo 27 - 30.27 - 30.,http://ufcstats.com/fight-details/a1afc16e21d1a807
UFC Fight Night: Hill vs. Rountree Jr.,Curtis Blaydes  vs. Rizvan Kuniev ,W/L,Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 28 - 29.Ben Cartlidge 29 - 28.Darryl Ransom 28 - 29.,http://ufcstats.com/fight-details/8e5744c664fec3e9
UFC Fight Night: Hill vs. Rountree Jr.,Tofiq Musayev  vs. Myktybek Orolbai ,L/W,Catch Weight Bout,Submission ,1,4:35,3 Rnd (5-5-5),Rich Mitchell,Kimura From Side Control ,http://ufcstats.com/fight-details/36ec204f47e4d613
UFC Fight Night: Hill vs. Rountree Jr.,Nazim Sadykhov  vs. Nikolas Motta ,W/L,Lightweight Bout,KO/TKO ,2,4:17,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head At Distance ,http://ufcstats.com/fight-details/7513a00037094075
UFC Fight Night: Hill vs. Rountree Jr.,Muhammad Naimov  vs. Bogdan Grad ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.28 - 29.,http://ufcstats.com/fight-details/19764211af05674c
UFC Fight Night: Hill vs. Rountree Jr.,Seokhyeon Ko  vs. Oban Elliott ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 27 - 30.Darryl Ransom 27 - 30.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/e512b80bbaea36c2
UFC Fight Night: Hill vs. Rountree Jr.,Ismail Naurdiev  vs. JunYong Park ,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Vito Paolillo 26 - 29.Clemens Werner 26 - 29.Ben Cartlidge 25 - 29.,http://ufcstats.com/fight-details/5fcf18bcd2a020f1
UFC Fight Night: Hill vs. Rountree Jr.,Daria Zhelezniakova  vs. Melissa Mullins ,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Darryl Ransom 28 - 29.Eric Colon 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/fff3218758c513b8
UFC Fight Night: Hill vs. Rountree Jr.,Irina Alekseeva  vs. Klaudia Sygula ,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 27 - 30.Eric Colon 27 - 30.Darryl Ransom 27 - 30.,http://ufcstats.com/fight-details/2bfc0212f2cae65b
UFC Fight Night: Hill vs. Rountree Jr.,Tagir Ulanbekov  vs. Azat Maksum ,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Eric Colon 28 - 29.Vito Paolillo 27 - 30.Darryl Ransom 27 - 30.,http://ufcstats.com/fight-details/8c140756bf43dcc2
UFC Fight Night: Hill vs. Rountree Jr.,Hamdy Abdelwahab  vs. Mohammed Usman ,L/W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Vito Paolillo 28 - 29.,http://ufcstats.com/fight-details/a12d3a6c8aaf87ca
UFC Fight Night: Usman vs. Buckley,Kamaru Usman  vs. Joaquin Buckley ,W/L,Welterweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Sal D'amato 46 - 49.Derek Cleary 46 - 49.Mike Bell 47 - 48.,http://ufcstats.com/fight-details/d75b3d3c2b209b75
UFC Fight Night: Usman vs. Buckley,Rose Namajunas  vs. Miranda Maverick ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,Jon Marigliano 27 - 30.Derek Cleary 27 - 30.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/79dfbbdd14fbbd11
UFC Fight Night: Usman vs. Buckley,Edmen Shahbazyan  vs. Andre Petroski ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Will Fisher 27 - 30.Sal D'amato 27 - 30.Nate Mann 28 - 29.,http://ufcstats.com/fight-details/e5bd7e6e2a50a843
UFC Fight Night: Usman vs. Buckley,Cody Garbrandt  vs. Raoni Barcelos ,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Ron McCarthy 28 - 29.Mike Bell 28 - 29.Nate Mann 28 - 29.,http://ufcstats.com/fight-details/1714950933f88ab9
UFC Fight Night: Usman vs. Buckley,Mansur Abdul-Malik  vs. Cody Brundage ,W/L,Middleweight Bout,Decision - Unanimous ,3,0:36,3 Rnd (5-5-5),Brent McKeehan,Technical decision after headbutt by Abdul-MalikWill Fisher 27 - 30.Jon Marigliano 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/08c04f18b0f58d71
UFC Fight Night: Usman vs. Buckley,Alonzo Menifield  vs. Oumar Sy ,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,Will Fisher 28 - 29.Derek Cleary 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/ec2034b134ae71cd
UFC Fight Night: Usman vs. Buckley,Paul Craig  vs. Rodolfo Bellato ,NC/NC,Light Heavyweight Bout,Could Not Continue ,1,4:59,3 Rnd (5-5-5),Kevin MacDonald,Illegal Upkick by Craig,http://ufcstats.com/fight-details/13e2ff8b3a122094
UFC Fight Night: Usman vs. Buckley,Michael Chiesa  vs. Court McGee ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary 27 - 30.Jon Marigliano 27 - 30.Will Fisher 28 - 29.,http://ufcstats.com/fight-details/e861e9cc0118c670
UFC Fight Night: Usman vs. Buckley,Malcolm Wellmaker  vs. Kris Moutinho ,W/L,Bantamweight Bout,KO/TKO ,1,2:37,3 Rnd (5-5-5),Brent McKeehan,Punch to Head At Distance ,http://ufcstats.com/fight-details/f6454f2e508626ec
UFC Fight Night: Usman vs. Buckley,Cody Durden  vs. Jose Ochoa ,L/W,Flyweight Bout,KO/TKO ,2,0:11,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance ,http://ufcstats.com/fight-details/b39b8ff0d7de211a
